aspect,elev_2000,elev_2011,elev_change,hillshade,slope,class,slope_flat,slope_moderate,slope_steep,aspect_sin,aspect_cos
335.86004638671875,4412,4409,-3,185,3.6652300357818604,1,1,0,0,-0.4089669004980641,0.9125492174655603
12.176468849182129,6215,6199,-16,155,41.004268646240234,0,0,0,1,0.21092335778911203,0.9775026021136548
327.99420166015625,6142,6319,177,228,30.254566192626953,3,0,0,1,-0.5300050840897877,0.8479944639200052
33.596473693847656,4434,4421,-13,133,28.361825942993164,0,0,1,0,0.5533402855138059,0.8329552979767281
30.822582244873047,4187,4208,21,160,12.68885326385498,2,0,1,0,0.5123813708423423,0.8587580164480109
11.620942115783691,5195,5209,14,161,31.978010177612305,2,0,0,1,0.20143595115157956,0.9795016884026584
122.50276184082031,5801,5851,50,72,45.35755157470703,3,0,0,1,0.8433655452641318,-0.5373402619023944
221.5339813232422,4724,4666,-58,254,37.772132873535156,0,0,0,1,-0.663064126784793,-0.7485625984319013
310.6336669921875,4359,4336,-23,190,3.9499406814575195,0,1,0,0,-0.7588887814378671,0.6512202526087079
21.925745010375977,6229,6259,30,138,38.65245056152344,2,0,0,1,0.3734046543942173,0.9276685636997382
281.2315673828125,5326,5300,-26,255,45.448848724365234,0,0,0,1,-0.9808479921279876,0.19477478363098036
333.3203430175781,5382,5439,57,231,38.8404541015625,3,0,0,1,-0.4490017764346258,0.8935308639093281
209.49029541015625,5564,5540,-24,244,46.21980285644531,0,0,0,1,-0.49227613476454124,-0.8704390887025256
279.7827453613281,5223,5227,4,255,42.807334899902344,1,0,0,1,-0.9854591124329256,0.16991273561128512
292.0762634277344,5433,5391,-42,255,36.122398376464844,0,0,0,1,-0.9266844140493385,0.37584038734286407
71.63546752929688,3769,3789,20,125,18.907936096191406,2,0,1,0,0.9490712245278948,0.3150615983789871
31.407621383666992,4724,4798,74,114,44.87811279296875,3,0,0,1,0.5211231650544716,0.8534814859407378
119.35731506347656,6135,6157,22,72,43.3715705871582,2,0,0,1,0.8715792890230636,-0.4902545695310253
273.1090393066406,4474,4455,-19,249,22.515914916992188,0,0,1,0,-0.9985281261196726,0.05423634711091102
344.16131591796875,5384,5431,47,217,47.56324005126953,3,0,0,1,-0.27292984045840835,0.9620339402470932
301.50201416015625,4911,4914,3,193,4.918453693389893,1,1,0,0,-0.8526217960556737,0.5225285378721406
295.37384033203125,5554,5594,40,255,63.241455078125,3,0,0,1,-0.9035310386190298,0.42852265080391866
